Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Terminais do conector","ZX_TK_Bus_SolderPads_56",39.370000,-2.500000,180.000000,top
"J2","Passagem","ZX_TK_Bus_Fingers_56",39.370000,-41.190000,180.000000,top
